,Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
0,Asparagus Cooked,0,0,22,0.2,2.4,0.91,23.0,14.0,224.0,4.1,2.0,0,1.3
3,Bagels made in wheat,0,1,250,1.5,10.0,2.76,20.0,439.0,165.0,49.0,4.1,0,6.1
5,Brocolli,0,0,25,0.5,3.8,1.27,118.0,56.0,343.0,3.1,2.8,0,0.6
6,Brown Rice,0,0,362,2.7,7.5,1.8,33.0,4.0,268.0,76.0,3.4,0,0.0
7,Cauliflower,0,0,32,0.3,3.0,0.72,32.0,259.0,278.0,6.3,3.3,0,0.0
10,Corn,0,0,97,1.4,3.3,0.55,2.0,253.0,3.3,22.0,2.7,0,7.7
11,Dark chocolates,0,1,556,32.0,5.5,2.13,30.0,6.0,502.0,60.0,6.5,0,48.0
13,Milk,0,0,97,6.9,3.8,0.12,169.0,52.0,178.0,5.2,0.0,0,0.0
15,Onions,0,0,40,0.1,1.1,0.21,23.0,4.0,146.0,9.3,1.7,0,4.2
17,Pasta canned with tomato sauce,0,1,71,0.7,2.2,0.91,13.0,381.0,192.0,14.0,0.9,0,4.0
19,Peas,0,0,81,0.4,5.4,1.47,25.0,5.0,244.0,14.0,5.7,0,5.7
21,Pumpkin,0,0,18,0.1,0.7,0.57,15.0,237.0,230.0,4.3,1.1,0,2.1
22,Tuna Salad,1,0,187,9.3,16.0,1.0,17.0,402.0,178.0,9.4,0.0,0,0.0
23,Tuna Fish,1,0,184,6.3,30.0,1.31,10.0,50.0,323.0,0.0,0.0,0,0.0
24,Peproni Pizza,0,1,298,14.0,12.0,2.14,146.0,692.0,199.0,30.0,1.8,0,3.2
25,Cheese Pizza,0,1,276,11.0,11.0,2.47,192.0,580.0,170.0,33.0,2.1,0,2.5
26,French Fries,0,1,289,14.0,3.5,0.91,17.0,357.0,545.0,37.0,3.9,0,0.3
