,Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
0,Asparagus Cooked,0,0,22,0.2,2.4,0.91,23.0,14.0,224.0,4.1,2.0,0,1.3
3,Bagels made in wheat,0,1,250,1.5,10.0,2.76,20.0,439.0,165.0,49.0,4.1,0,6.1
5,Brocolli,0,0,25,0.5,3.8,1.27,118.0,56.0,343.0,3.1,2.8,0,0.6
6,Brown Rice,0,0,362,2.7,7.5,1.8,33.0,4.0,268.0,76.0,3.4,0,0.0
7,Cauliflower,0,0,32,0.3,3.0,0.72,32.0,259.0,278.0,6.3,3.3,0,0.0
10,Corn,0,0,97,1.4,3.3,0.55,2.0,253.0,3.3,22.0,2.7,0,7.7
15,Onions,0,0,40,0.1,1.1,0.21,23.0,4.0,146.0,9.3,1.7,0,4.2
17,Pasta canned with tomato sauce,0,1,71,0.7,2.2,0.91,13.0,381.0,192.0,14.0,0.9,0,4.0
19,Peas,0,0,81,0.4,5.4,1.47,25.0,5.0,244.0,14.0,5.7,0,5.7
21,Pumpkin,0,0,18,0.1,0.7,0.57,15.0,237.0,230.0,4.3,1.1,0,2.1
22,Tuna Salad,1,0,187,9.3,16.0,1.0,17.0,402.0,178.0,9.4,0.0,0,0.0
26,French Fries,0,1,289,14.0,3.5,0.91,17.0,357.0,545.0,37.0,3.9,0,0.3
27,Chicken Burger,1,1,292,15.0,18.0,0.62,13.0,859.0,315.0,20.0,1.3,0,0.0
28,Cheese Burger,0,1,256,12.0,13.0,2.78,92.0,660.0,178.0,25.0,1.4,0,0.0
29,Chicken Sandwich,1,1,257,12.0,15.0,1.32,92.0,605.0,256.0,23.0,1.2,0,5.0
30,Sugar Doughnuts,0,1,426,23.0,5.2,1.06,60.0,402.0,102.0,51.0,1.5,0,32.0
31,Chocolate Doughnuts,0,1,452,25.0,4.9,4.0,24.0,326.0,201.0,51.0,1.9,0,27.0
